__article_key,publication
How Professional Services Firms Dodged Disruption.|2023-07,MIT SMR
How Sales Teams Can Use Gen AI to Discover What Clients Need.|2025-02,HBR
How Targeted Ads and Dynamic Pricing Can Perpetuate Bias.|2022-12,HBR
How We Built a Virtual Scheduling Assistant at Microsoft.|2017-07,HBR
How Will AI Change Work? Here Are Five Schools of Thought.|2021-12,HBR
How Will Generative AI Disrupt Video Platforms?|2023-03,HBR
How the Next Generation of Managers Is Using Gen AI.|2024-09,HBR
How to Avoid the Ethical Nightmares of Emerging Technology.|2023-05,HBR
How to Avoid the Ethical Nightmares of Emerging Technology.|2024-10,HBR
How to Be Systematic About Adopting AI at Your Company.|2024-11,HBR
How to Build Accountability into Your AI.|2021-08,HBR
How to Build Good AI Solutions When Data Is Scarce.|2023-01,MIT SMR
How to Capitalize on Generative AI.|2023-11,HBR
How to Capitalize on Generative AI.|2024-10,HBR
How to Choose Your First AI Project.|2019-02,HBR
How to Choose Your First AI Project.|2021-12,HBR
How to Decide If AI Should Be Part of Your Growth Strategy.|2024-03,HBR
How to Design an AI Marketing Strategy.|2021-07,HBR
How to Get Hired in the Era of Gen AI.|2024-10,HBR
How to Implement AI -- Responsibly.|2024-05,HBR
"How to Integrate Cloud, Data, and AI Technologies — and Make Your Company More Adaptable.|2024-07",HBR
How to Lead When the Future Feels Unpredictable.|2024-11,HBR
How to Make Generative AI Greener.|2023-07,HBR
How to Make Your Company Machine Learning Ready.|2016-11,MIT SMR
How to Manipulate Customers ... Ethically.|2021-10,HBR
How to Prepare Your Company for AI Incidents.|2024-12,HBR
How to Prepare for a GenAI Future You Can't Predict: A framework for making plans in the midst of great uncertainty.|2023-08,HBR
How to Red Team a Gen AI Model.|2024-01,HBR
How to Red Team a Gen AI Model.|2024-10,HBR
How to Regulate Generative AI in Health Care.|2024-09,HBR
"How to Reskill Your Workforce in the Age of AI: AI can augment decision making, but should not make decisions. That will continue to be the job of smart leaders.|2023-08",HBR
How to Set Up an AI Center of Excellence.|2019-01,HBR
How to Set Up an AI R&amp;D Lab.|2018-11,HBR
How to Set Your AI Project Up for Success.|2021-12,HBR
How to Train Generative AI Using Your Company’s Data.|2023-07,HBR
How to Use AI to Build Your Company's Collective Intelligence.|2024-10,HBR
How to Use Games to Build Relationships with Your Customers.|2024-11,HBR
Human Error Drives Most Cyber Incidents. Could AI Help?|2023-05,HBR
"INSIDE FACEBOOK'S AI WORKSHOP: At the social network behemoth, machine learning has become a platform for the platform.|2017-07",HBR
"If You Want Your Team to Use Gen AI, Focus on Trust.|2025-01",HBR
"If Your Company Uses AI, It Needs an Institutional Review Board.|2021-04",HBR
"If Your Company Uses AI, It Needs an Institutional Review Board.|2021-12",HBR
Improving Analytics Capabilities Through Crowdsourcing.|2016-07,MIT SMR
Inside Facebook’s AI Workshop.|2021-12,HBR
Intelligent Choices Reshape Decision-Making and Productivity.|2024-10,MIT SMR
Is AI the Right Tool to Solve That Problem?|2024-12,HBR
Is China Emerging as the Global Leader in AI?|2021-02,HBR
Is Gen AI's Impact on Productivity Overblown?|2024-10,HBR
Is Incrementalism Holding Back Your AI Strategy?|2025-03,HBR
Is Your AI-First Strategy Causing More Problems Than It's Solving?|2024-03,HBR
Is Your Company's Data Ready for Gen AI?|2024-10,HBR
Is Your Company's Data Ready for Generative AI?|2024-03,HBR
Is Your Data Infrastructure Ready for AI?|2021-12,HBR
Is Your Job AI Resilient?|2024-10,HBR
Is Your Mindset About Generative AI Limiting Your Professional Growth?|2024-05,HBR
It's Time for Boards to Take AI Seriously.|2023-11,HBR
Keep Your AI Projects on Track.|2023-11,HBR
Leading AI Is Still Leading.|2023-10,HBR
Leading in a World Where AI Wields Power of Its Own.|2024-01,HBR
"Learning to Manage Uncertainty, With AI.|2024-11",MIT SMR
Learning to Work with Intelligent Machines.|2019-09,HBR
Learning to Work with Intelligent Machines.|2021-12,HBR
Let's End Toxic Productivity.|2024-11,HBR
Let's Get to Work.|2024-04,MIT SMR
MARKETING IN THE AGE OF ALEXA.|2018-05,HBR
MARKETING IN THE AGE OF ALEXA.|2022-12,HBR
Making Sustainability More Tangible.|2024-03,MIT SMR
Manage Capital Investments Like a Supply Chain.|2024-12,HBR
Managing AI Decision-Making Tools.|2021-11,HBR
"Managing Data Privacy Risk in Advanced Analytics: Cybersecurity techniques that keep personal data safe can limit its use for analytics -- but data scientists, data owners, and IT can partner more closely to find middle ground.|2024-07",MIT SMR
Managing the Distraction-Focus Paradox.|2018-07,MIT SMR
Managing the Risks of Gen AI.|2024-10,HBR
Managing the Risks of Generative AI.|2023-12,HBR
Managing the Risks of Generative AI: Guidelines for companies as they implement the next generation of AI tools.|2023-06,HBR
Navigating the New Geopolitics of Tech.|2024-11,HBR
New AI Regulations Are Coming. Is Your Organization Ready?|2021-04,HBR
New Technologies Arrive in Clusters. What Does That Mean for AI?|2023-10,HBR
Nudge Users to Catch Generative AI Errors.|2024-07,MIT SMR
Overcoming the Hard Problems to Advance AI Practice.|2024-07,MIT SMR
PRODUCTIVITY Bots Won't Just Help Us Buy Stuff. They'll Help Us Become Better Versions of Ourselves.|2017-06,HBR
PUTTING PRODUCTS INTO SERVICES.|2016-09,HBR
People May Be More Trusting of AI When They Can’t See How It Works.|2023-09,HBR
Personalization Done Right.|2024-11,HBR
Predicting the Future.|2022-04,HBR
Quantum Computing Is Coming. What Can It Do?|2021-07,HBR
Radical Optionality.|2023-05,HBR
Recognizing Your Customer's Purpose is Key to Growth.|2021-05,HBR
Research: Consumers Don't Want AI to Seem Human.|2025-01,HBR
Research: Gen AI Changes the Value Proposition of Foreign Remote Workers.|2025-01,HBR
Research: How Different Fields Are Using GenAI to Redefine Roles.|2024-03,HBR
Research: How Responsible AI Protects the Bottom Line.|2025-03,HBR
Research: Leaders Undervalue Creative Work from AI-Managed Teams.|2024-03,HBR
Research: Technology Is Only Making Social Skills More Important.|2015-08,HBR
Reshaping Business With Artificial Intelligence.|2017-10,MIT SMR
Reskilling in the Age of AI.|2023-09,HBR
Reskilling in the Age of AI.|2024-10,HBR
Robots Need Us More Than We Need Them.|2022-03,HBR
Set Your Team Up to Collaborate with AI Successfully.|2024-11,HBR
Setting Your B2B Sales Strategy in a Downturn.|2023-01,HBR
Should You Start a Generative AI Company?|2023-06,HBR
Should You Write with Gen AI?|2024-12,HBR
Six Ways AI Could Disrupt Your Business.|2024-10,HBR
Small Data Can Play a Big Role in AI.|2020-02,HBR
Stop Overengineering People Management.|2020-09,HBR
Stop Tinkering with AI.|2023-01,MIT SMR
Strategy in an Era of Abundant Expertise.|2025-03,HBR
"Strategy, Not Technology, Is the Key to Winning with GenAI.|2023-12",HBR
Supply Chains Belong at the Top of a CEO's Agenda: Five ways leaders can navigate the growing risks of instability and disruption without getting bogged down in tactical issues.|2024-09,HBR
Survey: GenAI Is Making Companies More Data Oriented.|2024-01,HBR
THE BUSINESS OF ARTIFICIAL INTELLIGENCE: WHAT IT CAN -- AND CANNOT -- DO FOR YOUR ORGANIZATION.|2017-07,HBR
Tackling AI’s Climate Change Problem.|2024-01,MIT SMR
Talent Management in the Age of AI.|2023-12,HBR
Talent Management in the Age of AI.|2024-10,HBR
Tech at the Edge: Evaluating the Potential of Emerging Tools.|2023-04,MIT SMR
The 2023 HBR Prize.|2024-05,HBR
The 5 Fronts of Digital Transformation in the Middle Market.|2021-10,HBR
The 5 Things Your AI Unit Needs to Do.|2018-01,HBR
The 6 Disciplines Companies Need to Get the Most Out of Gen AI.|2024-07,HBR
The AI Hype Cycle Is Distracting Companies.|2023-06,HBR
The Art of Asking Smarter Questions.|2024-05,HBR
The Best Leaders Can't Be Replaced by AI.|2024-01,HBR
The Best Leaders Can't Be Replaced by AI.|2024-10,HBR
The Business Case for Quantum Computing.|2023-04,MIT SMR
The Business of Artificial Intelligence.|2021-12,HBR
The Charts that Help Make Sense of 2024.|2024-12,HBR
The Data Problem Stalling AI.|2021-01,MIT SMR
The Digital Economy Runs on Open Source. Here's How to Protect It.|2021-09,HBR
The Digital World Is Changing Rapidly. Your Cybersecurity Needs to Keep Up.|2023-05,HBR
The Ethics of Managing People’s Data.|2023-07,HBR
The First Wave of Corporate AI Is Doomed to Fail.|2017-04,HBR
The Fundamental Flaw in AI Implementation.|2018-01,MIT SMR
"The Future of AI Will Be About Less Data, Not More.|2019-01",HBR
"The Future of AI Will Be About Less Data, Not More.|2021-12",HBR
The Irreplaceable Value of Human Decision-Making in the Age of AI.|2024-12,HBR
The Jobs That Artificial Intelligence Will Create.|2017-07,HBR
The Limits of GenAI Educators.|2024-07,HBR
The New Risks ChatGPT Poses to Cybersecurity.|2023-04,HBR
The New Rules of Marketing Across Channels.|2024-06,HBR
The No. 1 Question to Ask When Evaluating AI Tools.|2023-04,MIT SMR
The Only Way Manufacturers Can Survive.|2019-04,MIT SMR
"The Opportunities at the Intersection of AI, Sustainability, and Project Management.|2023-10",HBR
The Pitfalls of Pricing Algorithms.|2021-09,HBR
The Power of Natural Language Processing.|2022-04,HBR
The Real Deal About Synthetic Data.|2022-01,MIT SMR
The Risks of Botshit.|2024-07,HBR
The Secret to Successful AI-Driven Process Redesign.|2025-01,HBR
The Simple Economics of Machine Intelligence.|2016-11,HBR
The Skills Your Employees Need to Work Effectively with AI.|2023-11,HBR
The UAW and Other Unions Must Focus More on AI and Automation in Their Negotiations.|2023-09,HBR
The Uneven Distribution of AI’s Environmental Impacts.|2024-07,HBR
Thinking Through the Ethics of New Tech... Before There's a Problem.|2021-11,HBR
Three Steps to Prepare Your Culture for AI.|2024-12,HBR
Three Ways AI Is Getting More Emotional.|2021-12,HBR
"To Be a Responsible AI Leader, Focus on Being Responsible.|2022-09",MIT SMR
"To Build Less-Biased AI, Hire a More-Diverse Team.|2020-10",HBR
"To Get Consumers to Trust AI, Show Them Its Benefits.|2017-04",HBR
"To Mitigate Gen AI's Risks, Draw on Your Team's Collective Judgment.|2024-11",HBR
"To Prepare for Automation, Stay Curious and Don’t Stop Learning.|2021-06",HBR
Train Your Brain to Work Creatively with Gen AI.|2024-11,HBR
Turn Generative AI from an Existential Threat into a Competitive Advantage.|2024-01,HBR
Turn Generative AI from an Existential Threat into a Competitive Advantage.|2024-10,HBR
Understanding Unhappy Patients Makes Hospitals Better for Everyone.|2021-04,HBR
Use Gen AI to Improve Scenario Planning.|2024-10,HBR
Use Open Source for Safer Generative AI Experiments.|2024-01,MIT SMR
Using AI to Adjust Your Marketing and Sales in a Volatile World.|2023-04,HBR
Using AI to Build Stronger Connections with Customers.|2023-08,HBR
Using AI to Build Stronger Connections with Customers.|2024-10,HBR
Using AI to Track How Customers Feel -- In Real Time.|2021-05,HBR
Using Artificial Intelligence to Promote Diversity.|2019-01,HBR
Using Blockchain to Build Customer Trust in AI.|2025-01,HBR
Using Federated Machine Learning to Overcome the AI Scale Disadvantage: A promising new approach to training AI models lets companies with small data sets collaborate while safeguarding proprietary information.|2023-10,MIT SMR
Using Prompt Engineering to Better Communicate with People.|2024-01,HBR
Using Sprints to Boost Your Sales Team’s Performance.|2023-07,HBR
WHAT'S DRIVING THE MACHINE LEARNING EXPLOSION? Three factors make this AI's moment.|2017-07,HBR
WHY AI CAN'T WRITE THIS ARTICLE (YET).|2017-07,HBR
WILL THAT MARKETPLACE SUCCEED?|2024-07,HBR
Want Your Company to Get Better at Experimentation?|2025-01,HBR
We Should Test AI the Way the FDA Tests Medicines.|2021-06,HBR
We're All Programmers Now.|2023-09,HBR
What Changes When AI Is So Accessible That Everyone Can Use It?|2018-01,HBR
What Companies Need to Know Before Investing in AI.|2022-12,HBR
What Does the Tech Industry Value?|2023-05,HBR
What Humans Lose When We Let AI Decide.|2022-04,MIT SMR
What Is Apple's Vision Pro Really For?|2023-06,HBR
What It Takes to Run a Great Hybrid Meeting.|2021-06,HBR
What Leaders Need to Know About Spatial Computing.|2023-11,HBR
What Roles Could Generative AI Play on Your Team? Six ways technologies like ChatGPT could change how we work.|2023-06,HBR
What Sets AI-Driven Companies Apart.|2024-11,HBR
What Sets Breakthrough Strategies Apart.|2018-01,MIT SMR
What We Often Get Wrong About Automation.|2021-12,HBR
What Will Happen When Your Company’s Algorithms Go Wrong?|2021-12,HBR
"What Will Working with AI Really Require? Companies need to think about how employees will cooperate with AI systems -- and how they will compete against them, too.|2023-06",HBR
What to Expect From Artificial Intelligence.|2017-04,MIT SMR
What's Your Cognitive Strategy?|2018-07,MIT SMR
"What, Me Worry?|2023-07",MIT SMR
When -- and Why -- You Should Explain How Your AI Works: Four scenarios in which companies should be prepared to explain an algorithm's predictions.|2022-08,HBR
"When AI Teammates Come On Board, Performance Drops.|2024-05",HBR
"When Algorithms Rule, Values Can Wither.|2023-01",MIT SMR
When Should You Use AI to Solve Problems?|2021-02,HBR
Where Automated Job Interviews Fall Short.|2022-01,HBR
Where Humans Still Have the Edge on AI.|2024-12,HBR
"Who Is Going to Regulate AI? As the world reckons with the impact of powerful new AI systems, governments are jostling to lead the regulatory charge -- and shape how this technology will grow.|2023-05",HBR
Who Profits the Most From Generative AI?|2024-04,MIT SMR
Who Writes the Rules of a Blockchain?|2021-07,HBR
"Why ""Living Intelligence"" Is the Next Big Thing.|2025-01",HBR
Why AI Customer Journeys Need More Friction.|2022-06,HBR
Why AI Will Never Replace Managers.|2021-09,HBR
Why Business Leaders Need to Understand Their Algorithms.|2021-12,HBR
Why Career Transition Is So Hard.|2023-11,HBR
Why Career Transition Is So Hard.|2025-02,HBR
Why Engineers Should Study Philosophy.|2024-04,HBR
Why Every Sales and Marketing Team Needs a “Boundary Spanner”.|2022-12,HBR
Why Isn't Healthcare More Personalized?|2024-11,HBR
Why People Resist Embracing AI.|2025-01,HBR
Why Playing It Safe Is the Riskiest Strategic Choice.|2024-03,HBR
Why Robots Won’t Steal Your Job.|2021-12,HBR
Why We Need to Audit Algorithms.|2018-11,HBR
Why You Need an AI Ethics Committee.|2022-07,HBR
Why the Power of Technology Rarely Goes to the People.|2023-10,HBR
Will AI Replace the Front Office in Pro Sports?|2023-06,HBR
Will Large Language Models Really Change How Work Is Done?|2024-04,MIT SMR
Your Organization Isn't Designed to Work with Gen AI.|2024-10,HBR
Your Organization Isn't Designed to Work with GenAI.|2024-02,HBR
Your Personal Brand Needs a Refresh. Here's Where to Start.|2024-05,HBR
how to win with machine learning.|2020-09,HBR
